LATITUDE,LONGITUDE,source,in_odis,description
-22.3879,-40.0738,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-21.2114,-39.9717,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3793,-36.8629,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.4631,-39.9693,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3945,-36.9385,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.4047,-39.9514,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1785,-36.3939,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.9182,-37.8794,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.8688,-39.6223,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3116,-36.6552,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1058,-37.1861,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.4011,-36.911,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.401,-36.9164,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-11.8613,-37.8339,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3074,-36.7073,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6082,-37.0792,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.1873,-36.4133,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.205,-38.4952,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.4037,-38.3543,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Rio Ventura S.A
-11.9178,-37.8621,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6185,-37.0742,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.396,-36.9262,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.38,-38.3438,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Rio Ventura S.A
-5.3159,-36.7145,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.3236,-38.1846,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: SPE Miranga
-10.6136,-37.0929,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.0011,-39.8751,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.139,-38.216,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.7218,-37.5679,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-18.9936,-39.8691,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.9345,-36.3621,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6658,-37.0682,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-25.535,-43.4478,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: TotalEnergies EP
-10.6406,-36.9424,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.2312,-39.8463,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-23.3344,-41.2985,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Equinor Brasil
-12.1478,-38.1966,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.2027,-36.4333,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-19.0061,-39.8628,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.5038,-38.3051,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: PetroRecôncavo
-22.7055,-40.8357,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-12.3642,-38.4577,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrosynergy
-22.7658,-40.727,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-5.0292,-37.0463,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.649,-37.1087,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.7502,-40.8334,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-19.0033,-39.8641,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-10.6438,-36.9931,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-25.2597,-42.5293,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-5.3981,-36.9074,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-12.1531,-38.1699,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.9786,-36.9263,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Areia
-22.6787,-40.6043,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Trident Energy
-5.2634,-36.5731,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-4.4613,-44.8975,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Eneva
-4.9699,-36.9067,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: 3R Areia
-24.5793,-42.2373,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-22.8449,-40.3432,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
-24.6875,-42.4612,ANP_Industrial_Area,False,Região: Desconhecido | Operadora: Petrobras
